fips_code,county,year,observed_rows,expected_quarters,coverage_pct,median_customers_out,p95_customers_out,p99_customers_out,lag15_log_correlation_all_years
17031,Cook,2023,33042,35040,94.297945,51,817,3733.98,0.91250409
17031,Cook,2024,33586,35136,95.58857,56,890.75,10917.45,0.91250409
17031,Cook,2025,22503,23328,96.463477,58,978.2,9244.8,0.91250409
34003,Bergen,2023,27409,35040,78.222032,6,212,1248,0.88362469
34003,Bergen,2024,30355,35136,86.392873,7,403,1767.46,0.88362469
34003,Bergen,2025,20783,23328,89.090364,5,218,1080.38,0.88362469
36047,Kings,2023,27720,35040,79.109589,5,134.05,468,0.95403336
36047,Kings,2024,29564,35136,84.141621,11,288,758.37,0.95403336
36047,Kings,2025,21614,23328,92.652606,28,715,2769.6,0.95403336
36081,Queens,2023,28179,35040,80.419521,6,179,957.32,0.93073729
36081,Queens,2024,30175,35136,85.880578,11,265,816.26,0.93073729
36081,Queens,2025,20809,23328,89.201818,16,471,2319,0.93073729
36103,Suffolk,2023,30064,35040,85.799087,25,353.85,1441.11,0.90036609
36103,Suffolk,2024,30822,35136,87.721995,26,374.95,1353.37,0.90036609
36103,Suffolk,2025,20997,23328,90.007716,26,373,1180.28,0.90036609
